occupation_code,occupation_name,beta_raw,frozen_weight,beta_quintile,bcc_group
0010,Chief executives,0.507777777778,163889050.09179997,4,Q4_Q5_more_exposed
0020,General and operations managers,0.480769230769,123561351.71779999,4,Q4_Q5_more_exposed
0040,Advertising and promotions managers,0.476744186047,5935331.3099,4,Q4_Q5_more_exposed
0051,Marketing managers,0.5,61531214.76749831,4,Q4_Q5_more_exposed
0052,Sales managers,0.45,56615257.53080169,3,Q1_Q3_less_exposed
0060,Public relations and fundraising managers,0.553490787572,11202854.406,5,Q4_Q5_more_exposed
0101,Administrative services managers,0.391304347826,7573779.980804389,3,Q1_Q3_less_exposed
0102,Facilities managers,0.400162337662,12637060.053095607,3,Q1_Q3_less_exposed
0110,Computer and information systems managers,0.530303030303,73196787.07419997,4,Q4_Q5_more_exposed
0120,Financial managers,0.485055230669,136513322.969,4,Q4_Q5_more_exposed
0135,Compensation and benefits managers,0.513157894737,1882403.4917,4,Q4_Q5_more_exposed
0136,Human resources managers,0.48,31748562.348400004,4,Q4_Q5_more_exposed
0137,Training and development managers,0.5,6074327.791900001,4,Q4_Q5_more_exposed
0140,Industrial production managers,0.405718701503,29841071.7746,3,Q1_Q3_less_exposed
0150,Purchasing managers,0.585714285714,23339541.333599996,5,Q4_Q5_more_exposed
0160,"Transportation, storage, and distribution managers",0.486525974026,35421040.4427,4,Q4_Q5_more_exposed
0205,"Farmers, ranchers, and other agricultural managers",0.367346938776,68734878.5469,3,Q1_Q3_less_exposed
0220,Construction managers,0.444444444444,110207595.66039999,3,Q1_Q3_less_exposed
0300,Architectural and engineering managers,0.442610837438,18525990.7127,3,Q1_Q3_less_exposed
0310,Food service managers,0.416666666667,114701500.5035,3,Q1_Q3_less_exposed
0335,Entertainment and recreation managers,0.390562469163,6668857.184041919,3,Q1_Q3_less_exposed
0340,Lodging managers,0.45652173913,12956252.5859,3,Q1_Q3_less_exposed
0350,Medical and health services managers,0.428571428571,78936084.21919999,3,Q1_Q3_less_exposed
0360,Natural sciences managers,0.530696798493,2949020.3623999995,4,Q4_Q5_more_exposed
0410,"Property, real estate, and community association managers",0.443181818182,73106308.22850001,3,Q1_Q3_less_exposed
0420,Social and community service managers,0.392857142857,44291662.7407,3,Q1_Q3_less_exposed
0425,Emergency management directors,0.422222222222,1553896.591,3,Q1_Q3_less_exposed
0426,"Personal service managers, all other",0.452122153209,902018.6224884,3,Q1_Q3_less_exposed
0440,"Managers, all other",0.491267364041,506074266.7158818,4,Q4_Q5_more_exposed
0500,"Agents and business managers of artists, performers, and athletes",0.54347826087,4691638.657699999,5,Q4_Q5_more_exposed
0510,"Buyers and purchasing agents, farm products",0.527777777778,1008616.9247,4,Q4_Q5_more_exposed
0520,"Wholesale and retail buyers, except farm products",0.466666666667,17826216.495899998,4,Q4_Q5_more_exposed
0530,"Purchasing agents, except wholesale, retail, and farm products",0.473684210526,27245185.5849,4,Q4_Q5_more_exposed
0540,"Claims adjusters, appraisers, examiners, and investigators",0.519210553579,36657139.0862,4,Q4_Q5_more_exposed
0565,Compliance officers,0.526304274931,30322621.922500003,4,Q4_Q5_more_exposed
0600,Cost estimators,0.5,13025471.362699999,4,Q4_Q5_more_exposed
0630,Human resources workers,0.636460402172,88405612.52579999,5,Q4_Q5_more_exposed
0640,"Compensation, benefits, and job analysis specialists",0.473684210526,6283316.2752,4,Q4_Q5_more_exposed
0650,Training and development specialists,0.552631578947,14932616.4718,5,Q4_Q5_more_exposed
0700,Logisticians,0.527860531833,16883913.954600003,4,Q4_Q5_more_exposed
0710,Management analysts,0.404761904762,99046493.2692,3,Q1_Q3_less_exposed
0725,"Meeting, convention, and event planners",0.486486486486,15007647.706200002,4,Q4_Q5_more_exposed
0726,Fundraisers,0.519230769231,8744234.067799998,4,Q4_Q5_more_exposed
0735,Market research analysts and marketing specialists,0.524590163934,46146842.50759999,4,Q4_Q5_more_exposed
0750,"Business operations specialists, all other",0.582840766028,45352892.68859909,5,Q4_Q5_more_exposed
0800,Accountants and auditors,0.56,176276378.56960005,5,Q4_Q5_more_exposed
0810,Property appraisers and assessors,0.53125,7951568.490599999,4,Q4_Q5_more_exposed
0820,Budget analysts,0.52,5510425.741099998,4,Q4_Q5_more_exposed
0830,Credit analysts,0.555555555556,3762474.5718,5,Q4_Q5_more_exposed
0845,Financial and investment analysts,0.461538461538,38054709.613901615,3,Q1_Q3_less_exposed
0850,Personal financial advisors,0.5,53451588.3097,4,Q4_Q5_more_exposed
0860,Insurance underwriters,0.571428571429,11761017.061799997,5,Q4_Q5_more_exposed
0900,Financial examiners,0.5,2008110.8465,4,Q4_Q5_more_exposed
0910,Credit counselors and loan officers,0.593775701278,37976448.82170001,5,Q4_Q5_more_exposed
0930,"Tax examiners and collectors, and revenue agents",0.58064516129,5730081.7777,5,Q4_Q5_more_exposed
0940,Tax preparers,0.625,9633229.187500002,5,Q4_Q5_more_exposed
0960,Other financial specialists,0.551276075486,9161469.56049839,5,Q4_Q5_more_exposed
1005,Computer and information research scientists,0.634615384615,3411889.3920000005,5,Q4_Q5_more_exposed
1006,Computer systems analysts,0.617424242424,57701141.0617,5,Q4_Q5_more_exposed
1007,Information security analysts,0.652173913043,18811900.115900002,5,Q4_Q5_more_exposed
1010,Computer programmers,0.95,42655463.287499994,5,Q4_Q5_more_exposed
1021,Software developers,0.868421052632,201856085.72878033,5,Q4_Q5_more_exposed
1031,Web developers,0.932692307692,9690938.968286278,5,Q4_Q5_more_exposed
1032,Web and digital interface designers,0.75,7690093.575356871,5,Q4_Q5_more_exposed
1050,Computer support specialists,0.616097749431,64361328.04389999,5,Q4_Q5_more_exposed
1065,Database administrators and architects,0.747205536917,13147653.703592902,5,Q4_Q5_more_exposed
1105,Network and computer systems administrators,0.72972972973,20453484.163000003,5,Q4_Q5_more_exposed
1106,Computer network architects,0.635222739362,11361917.1873,5,Q4_Q5_more_exposed
1108,"Computer occupations, all other",0.735786186333,96642372.4296887,5,Q4_Q5_more_exposed
1200,Actuaries,0.5,3437671.3406,4,Q4_Q5_more_exposed
1220,Operations research analysts,0.629032258065,15767367.009999998,5,Q4_Q5_more_exposed
1240,Other mathematical science occupations,0.661513089288,31955189.192799997,5,Q4_Q5_more_exposed
1305,"Architects, except landscape and naval",0.488372093023,20368537.751485754,4,Q4_Q5_more_exposed
1306,Landscape architects,0.421052631579,3058596.62921425,3,Q1_Q3_less_exposed
1310,"Surveyors, cartographers, and photogrammetrists",0.512191890301,4355476.4026,4,Q4_Q5_more_exposed
1320,Aerospace engineers,0.571428571429,15994458.954799999,5,Q4_Q5_more_exposed
1340,Bioengineers and biomedical engineers,0.589743589744,2609204.9492,5,Q4_Q5_more_exposed
1350,Chemical engineers,0.461538461538,8023596.7612,3,Q1_Q3_less_exposed
1360,Civil engineers,0.482142857143,49024846.9927,4,Q4_Q5_more_exposed
1400,Computer hardware engineers,0.727272727273,8618146.867899999,5,Q4_Q5_more_exposed
1410,Electrical and electronics engineers,0.583553862215,28381398.206400003,5,Q4_Q5_more_exposed
1420,Environmental engineers,0.555555555556,3730685.3385,5,Q4_Q5_more_exposed
1430,"Industrial engineers, including health and safety",0.550736761188,25815687.334100004,5,Q4_Q5_more_exposed
1440,Marine engineers and naval architects,0.421052631579,1517351.7397999999,3,Q1_Q3_less_exposed
1450,Materials engineers,0.487804878049,4925663.4491,4,Q4_Q5_more_exposed
1460,Mechanical engineers,0.531293509652,38835216.0955,4,Q4_Q5_more_exposed
1520,Petroleum engineers,0.527777777778,2644448.7005,4,Q4_Q5_more_exposed
1530,"Engineers, all other",0.522649620028,65320035.782800004,4,Q4_Q5_more_exposed
1541,Architectural and civil drafters,0.54,3950892.12560198,5,Q4_Q5_more_exposed
1551,Electrical and electronic engineering technologists and technicians,0.405660377358,9581727.23296832,3,Q1_Q3_less_exposed
1560,Surveying and mapping technicians,0.5,6021298.2161,4,Q4_Q5_more_exposed
1600,Agricultural and food scientists,0.432279913773,3036192.3712999998,3,Q1_Q3_less_exposed
1610,Biological scientists,0.482459683043,10644590.545,4,Q4_Q5_more_exposed
1640,Conservation scientists and foresters,0.418160341804,2511741.4436999997,3,Q1_Q3_less_exposed
1650,Medical scientists,0.517091770561,15021247.8293,4,Q4_Q5_more_exposed
1700,Astronomers and physicists,0.722522779043,2022142.8628,5,Q4_Q5_more_exposed
1710,Atmospheric and space scientists,0.565217391304,1168553.7367,5,Q4_Q5_more_exposed
1720,Chemists and materials scientists,0.387875531818,9803292.955599999,3,Q1_Q3_less_exposed
1745,"Environmental scientists and specialists, including health",0.521716295214,4757849.96898312,4,Q4_Q5_more_exposed
1750,"Geoscientists and hydrologists, except geographers",0.508254748416,4598532.00361688,4,Q4_Q5_more_exposed
1760,"Physical scientists, all other",0.45652173913,38703306.8778,3,Q1_Q3_less_exposed
1800,Economists,0.552631578947,2921246.5148,5,Q4_Q5_more_exposed
1821,Clinical and counseling psychologists,0.37037037037,1986389.6862170696,3,Q1_Q3_less_exposed
1822,School psychologists,0.391891891892,4846910.66326573,3,Q1_Q3_less_exposed
1825,Other psychologists,0.389352914534,12905119.7490172,3,Q1_Q3_less_exposed
1840,Urban and regional planners,0.477272727273,3642562.918499999,4,Q4_Q5_more_exposed
1860,Miscellaneous social scientists and related workers,0.503977867965,5239147.0459,4,Q4_Q5_more_exposed
1900,Agricultural and food science technicians,0.385559604472,3850678.1928,3,Q1_Q3_less_exposed
1910,Biological technicians,0.416666666667,2352643.5749000004,3,Q1_Q3_less_exposed
1920,Chemical technicians,0.392857142857,6218448.614799999,3,Q1_Q3_less_exposed
1970,"Other life, physical, and social science technicians",0.443199800096,25477480.78704693,3,Q1_Q3_less_exposed
1980,Occupational health and safety specialists and technicians,0.343945988498,7257526.54102532,3,Q1_Q3_less_exposed
2001,Substance abuse and behavioral disorder counselors,0.2,12014960.341329,2,Q1_Q3_less_exposed
2002,"Educational, guidance, and career counselors and advisors",0.289473684211,37755221.382116765,2,Q1_Q3_less_exposed
2003,Marriage and family therapists,0.111111111111,3774914.0073693004,1,Q1_Q3_less_exposed
2004,Mental health counselors,0.254901960784,17361462.97513285,2,Q1_Q3_less_exposed
2005,Rehabilitation counselors,0.354838709677,2315758.5551624,3,Q1_Q3_less_exposed
2011,"Child, family, and school social workers",0.242857142857,9083543.658023462,2,Q1_Q3_less_exposed
2012,Healthcare social workers,0.34375,9311173.45211329,3,Q1_Q3_less_exposed
2013,Mental health and substance abuse social workers,0.270833333333,2782328.32975292,2,Q1_Q3_less_exposed
2015,Probation officers and correctional treatment specialists,0.394736842105,9015925.8345,3,Q1_Q3_less_exposed
2016,Social and human service assistants,0.392857142857,22244468.4702,3,Q1_Q3_less_exposed
2040,Clergy,0.333333333333,36498125.4148,3,Q1_Q3_less_exposed
2050,"Directors, religious activities and education",0.439393939394,6861000.7501,3,Q1_Q3_less_exposed
2100,Lawyers,0.425,115976127.9793,3,Q1_Q3_less_exposed
2105,Judicial law clerks,0.51724137931,1706941.9707000002,4,Q4_Q5_more_exposed
2145,Paralegals and legal assistants,0.525,44390500.05459999,4,Q4_Q5_more_exposed
2170,"Title examiners, abstractors, and searchers",0.571428571429,9657175.97804208,5,Q4_Q5_more_exposed
2300,Preschool and kindergarten teachers,0.22859311977,63386703.8802,2,Q1_Q3_less_exposed
2310,Elementary and middle school teachers,0.322218482511,352375505.67820007,2,Q1_Q3_less_exposed
2320,Secondary school teachers,0.333333333333,97805013.1318,3,Q1_Q3_less_exposed
2330,Special education teachers,0.308023920524,36486901.833900005,2,Q1_Q3_less_exposed
2350,Tutors,0.542857142857,14396595.688851798,5,Q4_Q5_more_exposed
2400,"Archivists, curators, and museum technicians",0.397395570035,5888564.773600001,3,Q1_Q3_less_exposed
2440,Library technicians,0.567307692308,2643117.3089,5,Q4_Q5_more_exposed
2631,Commercial and industrial designers,0.465517241379,1750436.0335694707,4,Q4_Q5_more_exposed
2632,Fashion designers,0.390625,3399369.3626386453,3,Q1_Q3_less_exposed
2633,Floral designers,0.2,5805937.379742183,2,Q1_Q3_less_exposed
2634,Graphic designers,0.5,31086341.3573062,4,Q4_Q5_more_exposed
2635,Interior designers,0.5,11256977.55884928,4,Q4_Q5_more_exposed
2636,Merchandise displayers and window trimmers,0.30487804878,2346788.600143905,2,Q1_Q3_less_exposed
2700,Actors,0.1875,3970492.1782000004,2,Q1_Q3_less_exposed
2710,Producers and directors,0.46958537916,19180570.944399998,4,Q4_Q5_more_exposed
2721,Athletes and sports competitors,0.0,3110559.7900124006,1,Q1_Q3_less_exposed
2722,Coaches and scouts,0.3,22168218.806512758,2,Q1_Q3_less_exposed
2723,"Umpires, referees, and other sports officials",0.3125,2069554.55267484,2,Q1_Q3_less_exposed
2740,Dancers and choreographers,0.148368409864,1528476.8542,1,Q1_Q3_less_exposed
2751,Music directors and composers,0.710526315789,4332255.77170192,5,Q4_Q5_more_exposed
2752,Musicians and singers,0.408163265306,12777976.91239808,3,Q1_Q3_less_exposed
2755,"Disc jockeys, except radio",0.526315789474,1408971.61256804,4,Q4_Q5_more_exposed
2805,Broadcast announcers and radio disc jockeys,0.65,2782845.53450915,5,Q4_Q5_more_exposed
2810,"News analysts, reporters, and journalists",0.65,7765463.031100001,5,Q4_Q5_more_exposed
2825,Public relations specialists,0.590909090909,13210104.538299998,5,Q4_Q5_more_exposed
2830,Editors,0.647058823529,12172124.2502,5,Q4_Q5_more_exposed
2840,Technical writers,0.7,6364895.9709,5,Q4_Q5_more_exposed
2850,Writers and authors,0.877136752137,22745590.7624,5,Q4_Q5_more_exposed
2861,Interpreters and translators,0.88,9336842.184060289,5,Q4_Q5_more_exposed
2862,Court reporters and simultaneous captioners,0.958333333333,2825072.5478940797,5,Q4_Q5_more_exposed
2910,Photographers,0.385416666667,19933908.238100003,3,Q1_Q3_less_exposed
2920,"Television, video, and film camera operators and editors",0.484314789376,10459357.4858,4,Q4_Q5_more_exposed
3000,Chiropractors,0.454545454545,5573872.799299999,3,Q1_Q3_less_exposed
3030,Dietitians and nutritionists,0.548780487805,12300577.713999998,5,Q4_Q5_more_exposed
3040,Optometrists,0.3,4245136.1147,2,Q1_Q3_less_exposed
3050,Pharmacists,0.428571428571,35185848.4153,3,Q1_Q3_less_exposed
3065,Emergency medicine physicians,0.441176470588,621503.1549798899,3,Q1_Q3_less_exposed
3070,Radiologists,0.488888888889,800470.03206834,4,Q4_Q5_more_exposed
3110,Physician assistants,0.270833333333,15948698.407499999,2,Q1_Q3_less_exposed
3140,Audiologists,0.454545454545,1766265.0133,3,Q1_Q3_less_exposed
3150,Occupational therapists,0.289015151515,14406007.3173,2,Q1_Q3_less_exposed
3160,Physical therapists,0.191489361702,31258937.666699998,2,Q1_Q3_less_exposed
3200,Radiation therapists,0.280487804878,1336101.9675,2,Q1_Q3_less_exposed
3210,Recreational therapists,0.318181818182,1453245.4704,2,Q1_Q3_less_exposed
3220,Respiratory therapists,0.202380952381,10650683.653900001,2,Q1_Q3_less_exposed
3230,Speech-language pathologists,0.451219512195,19110404.8168,3,Q1_Q3_less_exposed
3245,"Therapists, all other",0.365602836879,27829243.557800002,3,Q1_Q3_less_exposed
3250,Veterinarians,0.27027027027,9223157.647900002,2,Q1_Q3_less_exposed
3255,Registered nurses,0.380190007037,345289598.2755,3,Q1_Q3_less_exposed
3258,Nurse practitioners,0.481481481481,27230898.947600003,4,Q4_Q5_more_exposed
3261,Acupuncturists,0.166666666667,2104631.7117125,2,Q1_Q3_less_exposed
3270,"Healthcare diagnosing or treating practitioners, all other",0.496394230769,1301139.4795874998,4,Q4_Q5_more_exposed
3300,Clinical laboratory technologists and technicians,0.254297259852,33022722.9229,2,Q1_Q3_less_exposed
3310,Dental hygienists,0.1875,20258517.324400004,2,Q1_Q3_less_exposed
3321,Cardiovascular technologists and technicians,0.357142857143,4771818.762860759,3,Q1_Q3_less_exposed
3322,Diagnostic medical sonographers,0.302631578947,9901756.685240556,2,Q1_Q3_less_exposed
3323,Radiologic technologists and technicians,0.377192982456,24306064.042260237,3,Q1_Q3_less_exposed
3324,Magnetic resonance imaging technologists,0.322222222222,4836634.15155789,2,Q1_Q3_less_exposed
3330,Nuclear medicine technologists and medical dosimetrists,0.351755380051,3293112.062778285,3,Q1_Q3_less_exposed
3401,Emergency medical technicians,0.208333333333,13044919.618424898,2,Q1_Q3_less_exposed
3402,Paramedics,0.153846153846,10277727.126575101,1,Q1_Q3_less_exposed
3421,Pharmacy technicians,0.426470588235,35334440.43467765,3,Q1_Q3_less_exposed
3422,Psychiatric technicians,0.12,8599326.71619727,1,Q1_Q3_less_exposed
3423,Surgical technologists,0.0666666666667,10593739.284380535,1,Q1_Q3_less_exposed
3424,Veterinary technologists and technicians,0.16393442623,12999681.675706852,2,Q1_Q3_less_exposed
3430,Dietetic technicians and ophthalmic medical technicians,0.304705146603,4364605.591385154,2,Q1_Q3_less_exposed
3500,Licensed practical and licensed vocational nurses,0.25,58953827.0837,2,Q1_Q3_less_exposed
3515,Medical records specialists,0.617647058824,18549329.980953004,5,Q4_Q5_more_exposed
3520,"Opticians, dispensing",0.285714285714,4787206.8434999995,2,Q1_Q3_less_exposed
3601,Home health aides,0.0769230769231,53926562.3460587,1,Q1_Q3_less_exposed
3602,Personal care aides,0.222222222222,136914965.6572,2,Q1_Q3_less_exposed
3603,Nursing assistants,0.101694915254,128183213.34725654,1,Q1_Q3_less_exposed
3605,Orderlies and psychiatric aides,0.0990644367741,5646881.1909847595,1,Q1_Q3_less_exposed
3610,Occupational therapy assistants and aides,0.265457675824,3346660.5036,2,Q1_Q3_less_exposed
3620,Physical therapist assistants and aides,0.162561583951,9183252.474700002,1,Q1_Q3_less_exposed
3630,Massage therapists,0.0740740740741,16363782.897400003,1,Q1_Q3_less_exposed
3640,Dental assistants,0.266666666667,29201135.9606,2,Q1_Q3_less_exposed
3645,Medical assistants,0.358974358974,58867724.158199996,3,Q1_Q3_less_exposed
3646,Medical transcriptionists,0.875,3920540.8137999997,5,Q4_Q5_more_exposed
3647,Pharmacy aides,0.38,3664334.309699999,3,Q1_Q3_less_exposed
3648,Veterinary assistants and laboratory animal caretakers,0.222222222222,5713958.7185,2,Q1_Q3_less_exposed
3649,Phlebotomists,0.182926829268,11679084.050099999,2,Q1_Q3_less_exposed
3655,Other healthcare support workers,0.32487995025,19109071.259999998,2,Q1_Q3_less_exposed
3700,First-line supervisors of correctional officers,0.282608695652,4962334.1998,2,Q1_Q3_less_exposed
3710,First-line supervisors of police and detectives,0.328947368421,10036658.909100002,2,Q1_Q3_less_exposed
3720,First-line supervisors of firefighting and prevention workers,0.415094339623,5193626.4661,3,Q1_Q3_less_exposed
3740,Firefighters,0.140350877193,32308670.462500002,1,Q1_Q3_less_exposed
3750,Fire inspectors,0.277344614942,2592303.4361,2,Q1_Q3_less_exposed
3801,Bailiffs,0.0357142857143,2240944.5350507,1,Q1_Q3_less_exposed
3802,Correctional officers and jailers,0.261363636364,32824670.962349303,2,Q1_Q3_less_exposed
3820,Detectives and criminal investigators,0.397410759175,15800225.378899999,3,Q1_Q3_less_exposed
3840,Parking enforcement workers,0.320512820513,1475025.4367,2,Q1_Q3_less_exposed
3870,Police officers,0.35064744166,75506887.18879999,3,Q1_Q3_less_exposed
3900,Animal control workers,0.35,948390.1529,3,Q1_Q3_less_exposed
3910,Private detectives and investigators,0.388888888889,11381610.5933,3,Q1_Q3_less_exposed
3930,Security guards and gambling surveillance officers,0.169000889377,82838962.94070002,2,Q1_Q3_less_exposed
3940,Crossing guards and flaggers,0.105263157895,3835250.4263999998,1,Q1_Q3_less_exposed
3945,Transportation security screeners,0.26,4413954.0007,2,Q1_Q3_less_exposed
3946,School bus monitors,0.166666666667,1828858.7070248,2,Q1_Q3_less_exposed
3960,Other protective service workers,0.193332020647,4396770.4773752,2,Q1_Q3_less_exposed
4000,Chefs and head cooks,0.261904761905,46075472.827999994,2,Q1_Q3_less_exposed
4010,First-line supervisors of food preparation and serving workers,0.511111111111,46940051.0389,4,Q4_Q5_more_exposed
